
000622	岳阳恒立	000623	吉林敖东
000623	吉林敖东	000625	长安汽车
000626	如意集团	000627	百科药业
000627	百科药业	000628	倍特高新
000629	新钢钒	000630	铜都铜业
000630	铜都铜业	000631	兰宝信息
000632	三木集团	000633	合金投资
000633	合金投资	000635	ST英化
000636	风华高科	000637	茂化实华
000637	茂化实华	000638	ST辽国际
000639	金德发展	000650	九江化纤
000650	九江化纤	000651	格力电器
000652	泰达股份	000653	ST九州
000653	ST九州	000655	华光陶瓷
000656	ST东源	000657	中钨高新
000657	中钨高新	000658	ST海洋
000659	珠海中富	000660	南华西
000660	南华西	000661	长春高新
000662	广西红日	000663	永安林业
000663	永安林业	000665	武汉塑料
000666	经纬纺机	000667	华一投资
000667	华一投资	000668	武汉石油
000669	中讯科技	000670	天发股份
000670	天发股份	000671	石狮新发
000672	铜城集团	000673	大同水泥
000673	大同水泥	000675	ST银山
000676	思达高科	000677	山东海龙
000677	山东海龙	000678	ST襄轴
000679	大连友谊	000680	山推股份
000680	山推股份	000681	远东股份
000682	ST东方	000683	天然碱
000683	天然碱	000685	公用科技
000686	锦州六陆	000687	保定天鹅
000687	保定天鹅	000688	朝华集团
000689	ST宏业	000690	宝丽华
000690	宝丽华	000691	寰岛实业
000692	惠天热电	000693	聚友网络
000693	聚友网络	000695	ST灯塔
000696	96国债(6)	000697	咸阳偏转
000697	咸阳偏转	000698	沈阳化工
000699	ST佳纸	000700	模塑科技
000700	模塑科技	000701	厦门信达
000702	正虹科技	000703	世纪光华
000703	世纪光华	000705	浙江震元
000707	双环科技	000708	大冶特钢
000708	大冶特钢	000709	唐钢股份
000710	ST天仪	000711	天伦置业
000711	天伦置业	000712	锦龙发展
000713	丰乐种业	000715	中兴商业
000715	中兴商业	000716	广西斯壮
000717	韶钢松山	000718	ST吉纸
000718	ST吉纸	000719	焦作鑫安
000720	鲁能泰山	000721	西安饮食
000721	西安饮食	000722	金果实业
000723	天宇电气	000725	京东方Ａ
000725	京东方Ａ	000726	鲁泰Ａ
000727	华东科技	000728	北京化二
000728	北京化二	000729	燕京啤酒
000730	环保股份	000731	四川美丰
000731	四川美丰	000732	福建三农
000733	振华科技	000735	罗牛山
000735	罗牛山	000736	重庆实业
000737	南风化工	000738	ST南摩
000738	ST南摩	000739	普洛药业
000748	湘计算机	000750	桂林集琦
000750	桂林集琦	000751	锌业股份
000752	西藏发展	000753	漳州发展
000753	漳州发展	000755	山西三维
000756	新华制药	000757	方向光电
000757	方向光电	000758	中色建设
000759	武汉中百	000760	博盈投资
000760	博盈投资	000761	ST板材
000762	西藏矿业	000763	锦州石化
000763	锦州石化	000765	ST华信
000766	通化金马	000767	漳泽电力
000767	漳泽电力	000768	西飞国际
000769	菲菲农业	000776	延边公路
000776	延边公路	000777	中核科技
000778	新兴铸管	000779	三毛派神
000779	三毛派神	000780	草原兴发
000782	美达股份	000783	石炼化
000783	石炼化	000785	武汉中商
000786	北新建材	000787	创智科技
000787	创智科技	000788	ST合成
000789	江西水泥	000790	华神集团
000790	华神集团	000791	西北化工
000792	盐湖钾肥	000793	燃气股份
000793	燃气股份	000795	太原刚玉
000796	宝商集团	000797	中国武夷
000797	中国武夷	000798	中水渔业
000799	湘酒鬼	000800	一汽轿车
000800	一汽轿车	000801	ST湖山
000802	京西旅游	000803	美亚股份
000803	美亚股份	000805	炎黄物流
000806	银河科技	000807	云铝股份
000807	云铝股份	000809	ST一纺
000810	华润锦华	000811	烟台冰轮
000811	烟台冰轮	000812	陕西金叶
000813	天山纺织	000815	美利纸业
000815	美利纸业	000816	江淮动力
000817	辽河油田	000818	锦化氯碱
000818	锦化氯碱	000819	岳阳兴长
000820	金城股份	000821	京山轻机
000821	京山轻机	000822	山东海化
000823	超声电子	000825	太钢不锈
000825	太钢不锈	000826	国投原宜
000827	长兴实业	000828	福地科技
000828	福地科技	000829	赣南果业
000830	鲁西化工	000831	关铝股份
000831	关铝股份	000832	龙涤股份
000833	贵糖股份	000835	隆源双登
000835	隆源双登	000836	天大天财
000837	秦川发展	000838	ST西化机
000838	ST西化机	000839	中信国安
000848	承德露露	000850	华茂股份
000850	华茂股份	000851	ST七砂
000852	江钻股份	000856	唐山陶瓷
000856	唐山陶瓷	000858	五粮液
000859	国风塑业	000860	顺鑫农业
000860	顺鑫农业	000861	茂化永业
000862	吴忠仪表	000863	和光商务
000863	和光商务	000866	扬子石化
000868	安凯客车	000869	张裕A
000869	张裕A	000875	吉电股份
000876	新希望	000877	天山股份
000877	天山股份	000878	云南铜业
000880	山东巨力	000881	大连国际
000881	大连国际	000882	华联股份
000883	三环股份	000885	ST春都
000885	ST春都	000886	海南高速
000887	飞彩股份	000888	峨眉山Ａ
000888	峨眉山Ａ	000889	渤海物流
000890	法尔胜	000892	长丰通信
000892	长丰通信	000893	广州冷机
000895	双汇发展	000896	96国债(8)
000896	96国债(8)	000897	津滨发展
000898	鞍钢新轧	000899	赣能股份
000899	赣能股份	000900	现代投资
000901	航天科技	000902	中国服装
000902	中国服装	000903	云内动力
000905	厦门路桥	000906	南方建材
000906	南方建材	000908	天一科技
000909	数源科技	000910	大亚科技
000910	大亚科技	000911	南宁糖业
000912	泸天化	000913	钱江摩托
000913	钱江摩托	000915	山大华特
000916	华北高速	000917	电广传媒
000917	电广传媒	000918	亚华种业
000919	金陵药业	000920	南方汇通
000920	南方汇通	000921	科龙电器
000922	阿继电器	000923	河北宣工
000923	河北宣工	000925	浙大海纳
000926	福星科技	000927	ST夏利
000927	ST夏利	000928	吉林炭素
000929	兰州黄河	000930	丰原生化
000930	丰原生化	000931	中关村
000932	华菱管线	000933	神火股份
000933	神火股份	000935	四川双马
000936	华西村	000937	金牛能源
000937	金牛能源	000938	清华紫光
000939	凯迪电力	000948	南天信息
000948	南天信息	000949	新乡化纤
000950	民丰农化	000951	ST小鸭
000951	ST小鸭	000952	广济药业
000953	河池化工	000955	欣龙无纺
000955	欣龙无纺	000956	中原油气
000957	中通客车	000958	东方热电
000958	东方热电	000959	首钢股份
000960	锡业股份	000961	大连金牛
000961	大连金牛	000962	东方钽业
000963	华东医药	000965	天水股份
000965	天水股份	000966	长源电力
000967	上风高科	000968	神州股份
000968	神州股份	000969	安泰科技
000970	中科三环	000971	湖北迈亚
000971	湖北迈亚	000972	新中基
000973	佛塑股份	000975	科学城
000975	科学城	000976	春晖股份
000977	浪潮信息	000978	桂林旅游
000978	桂林旅游	000979	科苑集团
000980	ST金马	000981	兰光科技
000981	兰光科技	000982	圣 雪 绒
000983	西山煤电	000985	大庆华科
000985	大庆华科	000987	广州友谊
000988	华工科技	000989	九芝堂
000989	九芝堂	000990	诚志股份
000991	通海高科	000993	闽东电力
000993	闽东电力	000995	皇台酒业
000996	捷利股份	000997	新大陆
000997	新大陆	000998	隆平高科
000999	三九医药	001696	ST宗动
001696	ST宗动	001896	豫能控股
009703	97国债(3)	009704	97国债(4)
009704	97国债(4)	009905	99国债(5)
009908	99国债(8)	010004	20国债(4)
010004	20国债(4)	010010	20国债(10)
010103	21国债(3)	010107	21国债(7)
010107	21国债(7)	010110	21国债(10)
010112	21国债(12)	010115	21国债(15)
010115	21国债(15)	010203	02国债(3)
010210	02国债(10)	010213	02国债(13)
010213	02国债(13)	010214	02国债(14)
010215	02国债(15)	010301	03国债(1)
010301	03国债(1)	010303	03国债(3)
010307	03国债(7)	010796	96国债(7)
010796	96国债(7)	100001	南化转债
100009	机场转债	100016	民生转债
100016	民生转债	100087	水运转债
100115	国债0115	100117	西钢转债
100117	西钢转债	100177	雅戈转债
100203	国债0203	100210	国债0210
100210	国债0210	100213	国债0213
100214	国债0214	100215	国债0215
100215	国债0215	100220	阳光转债
100236	桂冠转债	100301	国债0301
100301	国债0301	100303	国债0303
100307	国债0307	100567	山鹰转债
100567	山鹰转债	100726	龙电转债
100795	国电转债	101903	国债903
101903	国债903	101904	国债904
101905	国债905	101912	国债912
101912	国债912	101917	国债917
101918	国债918	101966	国债966
101966	国债966	101968	国债968
101973	国债973	101995	国债995
101995	国债995	101998	国债998
111011	中铁963	111012	中铁965
111012	中铁965	111013	中信983
111015	01三峡10	111016	01广核债
111016	01广核债	111017	02电网3
111018	02电网15	111019	02广核债
111019	02广核债	120001	99宝钢债
120101	01中移动	120102	01三峡债
120102	01三峡债	120201	02三峡债
120202	02中移(5)	120203	02中移(15)
120203	02中移(15)	120204	02苏交通
120205	02渝城投	120288	02金茂债
120288	02金茂债	125002	万科转债
125301	丝绸转债	125302	茂炼转债
125302	茂炼转债	125629	钢钒转债
125630	铜都转债	125729	燕京转债
125729	燕京转债	125898	鞍钢转债
125930	丰原转债	125936	华西转债
125936	华西转债	126301	丝绸转2
129601	95吉化债	129701	96三峡债
129701	96三峡债	129702	96吉化债
129703	96梅山债	129801	97国电债
129801	97国电债	129802	97中铁3
129803	97中铁5	129804	98三峡３
129804	98三峡３	129805	98三峡８
129806	98中铁(1)	129901	98中铁(2)
129901	98中铁(2)	129902	98中铁(3)
129903	99三峡债	129904	98中信(7)
129904	98中信(7)	129905	98石油债
131800	R-003	131801	R-007
131801	R-007	131802	R-014
131803	R-028	131804	R-063
131804	R-063	131805	R-091
131806	R-182	131807	R-273
131807	R-273	131809	R-004
131810	R-001	131811	R-002
131811	R-002	131900	RC-003
131901	RC-007	131910	RC-001
131910	RC-001	131911	RC-002
184001	南山基金	184002	天骥基金
184002	天骥基金	184003	蓝天基金
184005	半岛基金	184006	君安受益
184006	君安受益	184501	广发基金
184502	南方基金	184503	广证基金
184503	广证基金	184505	华信基金
184506	富岛基金	184509	广证受益
184509	广证受益	184510	海南银通
184688	基金开元	184689	基金普惠
184689	基金普惠	184690	基金同益
